,,,,,,,,,,,,,,
, Total occurences , , , , , , ,   Number of files using the predicate , , , , , , 
,,,,,,,,,,,,,,
, , Orca ,  f4w  , dissect  , eye , cwm , all , ,  Orca ,  f4w  , dissect  , eye , cwm , all  
e:stringSplit , ,0,0,0,9,0,9,  ,0,0,0,2,0,2
e:subsequence , ,0,0,0,27,0,27,  ,0,0,0,2,0,2
e:transpose , ,0,0,0,9,0,9,  ,0,0,0,2,0,2
e:wwwFormEncode , ,0,0,0,18,0,18,  ,0,0,0,2,0,2
crypto:sha , ,0,0,0,3,0,3,  ,0,0,0,2,0,2
string:endsWith , ,0,0,0,0,14,14,  ,0,0,0,0,2,2
string:greaterThan , ,0,0,0,0,4,4,  ,0,0,0,0,2,2
string:notLessThan , ,0,0,0,0,4,4,  ,0,0,0,0,2,2
time:day , ,0,0,0,9,0,9,  ,0,0,0,2,0,2
pred:iri-string , ,0,0,0,8,0,8,  ,0,0,0,2,0,2
func:not , ,0,0,0,15,0,15,  ,0,0,0,2,0,2
func:concat , ,0,0,0,37,0,37,  ,0,0,0,2,0,2
func:string-join , ,0,0,0,22,0,22,  ,0,0,0,2,0,2
func:encode-for-uri , ,0,0,0,22,0,22,  ,0,0,0,2,0,2
func:subtract-dateTimes , ,0,0,0,8,0,8,  ,0,0,0,2,0,2
func:subtract-dates , ,0,0,0,8,0,8,  ,0,0,0,2,0,2
func:subtract-times , ,0,0,0,29,0,29,  ,0,0,0,2,0,2
func:add-yearMonthDurations , ,0,0,0,8,0,8,  ,0,0,0,2,0,2
func:subtract-yearMonthDurations , ,0,0,0,8,0,8,  ,0,0,0,2,0,2
func:multiply-yearMonthDuration , ,0,0,0,8,0,8,  ,0,0,0,2,0,2
func:divide-yearMonthDuration , ,0,0,0,16,0,16,  ,0,0,0,2,0,2
func:divide-yearMonthDuration-by-yearMonthDuration , ,0,0,0,8,0,8,  ,0,0,0,2,0,2
func:add-dayTimeDurations , ,0,0,0,8,0,8,  ,0,0,0,2,0,2
func:subtract-dayTimeDurations , ,0,0,0,8,0,8,  ,0,0,0,2,0,2
func:multiply-dayTimeDuration , ,0,0,0,8,0,8,  ,0,0,0,2,0,2
func:divide-dayTimeDuration , ,0,0,0,16,0,16,  ,0,0,0,2,0,2
func:divide-dayTimeDuration-by-dayTimeDuration , ,0,0,0,8,0,8,  ,0,0,0,2,0,2
func:add-yearMonthDuration-to-dateTime , ,0,0,0,8,0,8,  ,0,0,0,2,0,2
func:add-yearMonthDuration-to-date , ,0,0,0,16,0,16,  ,0,0,0,2,0,2
func:add-dayTimeDuration-to-dateTime , ,0,0,0,8,0,8,  ,0,0,0,2,0,2
func:add-dayTimeDuration-to-date , ,0,0,0,16,0,16,  ,0,0,0,2,0,2
func:add-dayTimeDuration-to-time , ,0,0,0,8,0,8,  ,0,0,0,2,0,2
func:subtract-yearMonthDuration-from-dateTime , ,0,0,0,8,0,8,  ,0,0,0,2,0,2
func:subtract-yearMonthDuration-from-date , ,0,0,0,16,0,16,  ,0,0,0,2,0,2
func:subtract-dayTimeDuration-from-dateTime , ,0,0,0,8,0,8,  ,0,0,0,2,0,2
func:subtract-dayTimeDuration-from-date , ,0,0,0,16,0,16,  ,0,0,0,2,0,2
func:subtract-dayTimeDuration-from-time , ,0,0,0,15,0,15,  ,0,0,0,2,0,2
func:append , ,0,0,0,29,0,29,  ,0,0,0,2,0,2
func:concatenate , ,0,0,0,29,0,29,  ,0,0,0,2,0,2
func:insert-before , ,0,0,0,29,0,29,  ,0,0,0,2,0,2
func:remove , ,0,0,0,36,0,36,  ,0,0,0,2,0,2
func:union , ,0,0,0,29,0,29,  ,0,0,0,2,0,2
func:intersect , ,0,0,0,29,0,29,  ,0,0,0,2,0,2
func:except , ,0,0,0,22,0,22,  ,0,0,0,2,0,2
e:graphPair , ,0,0,0,1,0,1,  ,0,0,0,1,0,1
e:roots , ,0,0,0,1000,0,1000,  ,0,0,0,1,0,1
e:trace , ,0,0,1,0,0,1,  ,0,0,1,0,0,1
math:absoluteValue , ,0,0,0,0,1,1,  ,0,0,0,0,1,1
